opencore-amr 0.1.5-2
openexr 2.3.0-1
openjpeg2 2.3.1-1
openresolv 3.9.1-1
openssh 8.0p1-2
openssl 1.1.1.c-1
openssl-1.0 1.0.2.s-1
openvpn 2.4.7-1
opus 1.3.1-1
orc 0.4.29-1
os-prober 1.77-1
p11-kit 0.23.16.1-1
p7zip 16.02-5
package-query 1.9-2
pacman 5.1.3-1
pacman-mirrors 4.14.2-1
pacui 1.12-1
palemoon-bin 28.6.1-1
pam 1.3.1-1
pamac-cli 8.0.4-7
pamac-common 8.0.4-7
pamac-gtk 8.0.4-7
pambase 20190105.1-1
pango 1:1.44.3-1
pangomm 2.42.0-1
papirus-icon-theme 20190802-1
papirus-maia-icon-theme 20190726-1
parted 3.2-9.1
patch 2.7.6-7
patchutils 0.3.4-3
pciutils 3.6.2-1
pcmanfm 1.3.1-1
pcre 8.43-1
pcre2 10.33-1
pcsclite 1.8.25-1
perl 5.30.0-3
perl-alien-build 1.79-1
perl-alien-libxml2 0.09-2
perl-capture-tiny 0.48-2
perl-clone 0.41-3
perl-dbi 1.642-3
perl-error 0.17027-2
perl-ffi-checklib 0.25-1
perl-file-basedir 0.08-3
perl-file-chdir 0.1011-3
perl-file-desktopentry 0.22-5
perl-file-mimeinfo 0.29-2
perl-file-which 1.23-2
perl-ipc-system-simple 1.25-5
perl-mailtools 2.21-2
perl-path-tiny 0.108-2
perl-timedate 2.30-6
perl-uri 1.76-2
perl-xml-libxml 2.0201-2
perl-xml-namespacesupport 1.12-3
perl-xml-sax 1.00-1
perl-xml-sax-base 1.09-3
php 7.3.8-1
pinentry 1.1.0-4
pixman 0.38.4-1
pkcs11-helper 1.25.1-1
pkgconf 1.6.3-1
polkit 0.116-1.1
polkit-gnome 0.105-4
polkit-qt5 0.112.0+git20180107-2
ponymix 5-2
poppler 0.79.0-1
poppler-data 0.4.9-1
poppler-glib 0.79.0-1
popt 1.16-10
portaudio 1:19.6.0-6
powertop 2.10-1
ppp 2.4.7-5
pptpclient 1.10.0-1
procps-ng 3.3.15-1.2
psmisc 23.2-1
pulseaudio 12.2-2
pulseaudio-alsa 2-4
pulsemixer 1.5.0-1
pygobject-devel 3.32.2-1
pygobject2-devel 2.28.7-2
pygtk 2.24.0-8
pyqt5-common 5.13.0-1
pyqtwebengine-common 5.13.0-1
python 3.7.4-1
python-apipkg 1.5-1
python-appdirs 1.4.3-2
python-asn1crypto 0.24.0-2
python-atomicwrites 1.3.0-1
python-attrs 19.1.0-1
python-automat 0.7.0-2
python-beaker 1.10.1-1
python-cairo 1.18.1-1
python-cffi 1.12.3-1
python-chardet 3.0.4-2
python-click 7.0-1
python-constantly 15.1.0-3
python-cryptography 2.7-1
python-dbus 1.2.8-2
python-dbus-common 1.2.8-2
python-distro 1.4.0-1
python-docopt 0.6.2-5
python-geoip 1.3.2-5
python-gobject 3.32.2-1
python-hyperlink 19.0.0-1
python-idna 2.8-1
python-importlib-metadata 0.19-1
python-incremental 17.5.0-2
python-iniconfig 1.0.0-2
python-jinja 2.10.1-1
python-mako 1.0.14-1
python-markupsafe 1.1.1-1
python-more-itertools 4.3.0-1
python-npyscreen 4.10.5-2
python-packaging 19.1-2
python-pillow-simd 1:5.3.0.post1-1
python-pluggy 0.12.0-1
python-ply 3.11-2
python-psutil 5.6.3-1
python-py 1.8.0-1
python-pyasn1 0.4.6-1
python-pyasn1-modules 0.2.6-1
python-pycparser 2.19-1
python-pycups 1.9.74-1
python-pycurl 7.43.0.3-1
python-pygments 2.4.2-1
python-pyhamcrest 1.9.0-3
python-pyopenssl 19.0.0-1
python-pyparsing 2.4.2-1
python-pypeg2 2.15.2-3
python-pyqt5 5.13.0-1
python-pyqtwebengine 5.13.0-1
python-pytest 5.0.1-1
python-rencode 1.0.6-1
python-requests 2.22.0-1
python-service-identity 18.1.0-1
python-setproctitle 1.1.10-3
python-setuptools 1:41.0.1-1
python-sip 4.19.18-1
python-sip-pyqt5 4.19.18-1
python-six 1.12.0-1
python-twisted 19.2.1-1
python-ueberzug 18.1.3-2
python-urllib3 1.25.3-1
python-urwid 2.0.1-2
python-wcwidth 0.1.7-3
python-xapp 1.6.0-1
python-xdg 0.26-2
python-xlib 0.24-1
python-yaml 5.1.1-1
python-zipp 0.5.2-1
python-zope-interface 4.6.0-1
python2 2.7.16-1
python2-appdirs 1.4.3-2
python2-asn1crypto 0.24.0-2
python2-attrs 19.1.0-1
python2-automat 0.7.0-2
python2-cairo 1.18.1-1
python2-cffi 1.12.3-1
python2-chardet 3.0.4-2
python2-click 7.0-1
python2-constantly 15.1.0-3
python2-cryptography 2.7-1
python2-enum34 1.1.6-2
python2-gobject2 2.28.7-2
python2-hyperlink 19.0.0-1
python2-idna 2.8-1
python2-incremental 17.5.0-2
python2-ipaddress 1.0.22-1
python2-mutagen 1.42.0-3
python2-packaging 19.1-2
python2-ply 3.11-2
python2-pycparser 2.19-1
python2-pyhamcrest 1.9.0-3
python2-pyopenssl 19.0.0-1
python2-pyparsing 2.4.2-1
python2-setuptools 1:41.0.1-1
python2-six 1.12.0-1
python2-twisted 19.2.1-1
python2-xdg 0.26-2
python2-zope-interface 4.6.0-1
qpdf 8.4.2-1
qt5-base 5.13.0-7.1
qt5-declarative 5.13.0-1
qt5-location 5.13.0-1
qt5-styleplugins 5.0.0.20170311-15
qt5-svg 5.13.0-1
qt5-webchannel 5.13.0-1
qt5-webengine 5.13.0-4
qt5-x11extras 5.13.0-1
qt5ct 0.39-2
qutebrowser 1.7.0-1
ranger 1.9.2.212.g5ae67755-1
raptor 2.0.15-11
re2 20190801-1
readline 8.0.0-1
reiserfsprogs 3.6.27-2
rest 0.8.1-1
rpcbind 1.2.5-2
rsync 3.1.3-1
rtkit 0.12-1
rtmpdump 1:2.4.r96.fa8646d-5
rubberband 1.8.2-2
run-parts 4.8.6.1-1
rxvt-unicode 9.22-9
rxvt-unicode-terminfo 9.22-9
s-nail 14.9.14-1
sbc 1.4-1
sbxkb 0.7.6-3
sc-im 0.7.0-2
screenfetch 3.8.0.r107.g522c9c0-1
scrot 1.1.1-1
sdl 1.2.15-10
sdl2 2.0.10-1
sed 4.7-1
serf 1.3.9-3
sg3_utils 1.44-1
shaderc 2019.0-1
shadow 4.7-2
shared-mime-info 1.12-1
simple-mtpfs 0.3.0-1
sip 4.19.18-1
slang 2.3.2-1
slop 7.4-4
smbclient 4.10.6-1
snappy 1.1.7-1
socat 1.7.3.3-1
sound-theme-freedesktop 0.8-3
soundtouch 2.1.2-1
spandsp 0.0.6-2
spectre-meltdown-checker 0.42-1
speedtest-cli 2.1.1-1
speex 1.2.0-2
speexdsp 1.2.0-1
spirv-tools 2019.3-2
splix 2.0.0-14
sqlite 3.29.0-1
srt 1.3.3-1
startup-notification 0.12-6
stfl 0.24-4
stoken 0.92-3
stow 2.3.1-2
subversion 1.12.2-1
sudo 1.8.27-1
suitesparse 5.4.0-1
sxiv 25-1
sysfsutils 2.1.0-10
syslog-ng 3.22.1-1
system-config-printer 1.5.11-4
systemd 242.84-1
systemd-libs 242.84-1
systemd-sysvcompat 242.84-1
taglib 1.11.1-3
talloc 2.2.0-1
tar 1.32-1
task-spooler 1.0-2
tcl 8.6.9-2
tdb 1.3.18-2
terminus-font 4.48-1
termite 15-1
termite-terminfo 15-1
tevent 1:0.9.39-2
texinfo 6.6-1
thin-provisioning-tools 0.8.5-2
tk 8.6.9.1-2
tlp 1.2.2-1.1
tmux 2.9_a-3
tree 1.8.0-1
tslib 1.20-1
ttf-bitstream-vera 1.10-12
ttf-dejavu 2.37-2
ttf-droid 20121017-7.2
ttf-font-icons 1.1-3
ttf-inconsolata 1:2.0.0.1-3
ttf-indic-otf 0.2-9
ttf-joypixels 5.0.2-2
ttf-liberation 2.00.5-2
ttf-linux-libertine 5.3.0-4
ttf-symbola 12.00-1
twolame 0.3.13-8
tzdata 2019b-1
uchardet 0.0.6-2
udisks2 2.8.4-1
ufw 0.36-1
unclutter-xfixes-git v1.5.r9.gfacc3ad-1
unibilium 2.0.0-1
unrar 1:5.7.5-1
unzip 6.0-13
upower 0.99.10-1
uriparser 0.9.3-1
urlscan 0.9.3-2
urxvt-perls 2.2-2
usbmuxd 1.1.0+48+g1cc8b34-3
usbutils 010-1
util-linux 2.34-3
v4l-utils 1.16.6-1
v86d 0.1.10-5.1
vamp-plugin-sdk 2.8.0-1
vertex-maia-themes 20180519-4
vi 1:070224-3
vibrancy-icons-teal 2.7-1
vid.stab 1.1-2
viewnior 1.7-2
vifm 0.10.1-1
vim 8.1.1776-1
vim-runtime 8.1.1776-1
virtualbox-guest-utils 6.0.10-1
vlc 3.0.8-0
volume_key 0.3.11-2
volumeicon 0.5.1-4
vpnc 1:0.5.3.r460.r73-1
vte-common 0.56.3-1
vte3 0.56.3-1
vulkan-icd-loader 1.1.115-1
w3m 0.5.3.git20190105-1
