mhwd-ati 7.7.0-1
mhwd-catalyst 1:15.201.1151-2
mhwd-db 0.6.3-6
mhwd-nvidia 1:430.26-1
mhwd-nvidia-340xx 340.107-1
mhwd-nvidia-390xx 390.116-1
microsoft-office-online-jak 19.06.2-3
milou 5.16.3-1
minizip 1:1.2.11-3
mjpegtools 2.1.0-4
mkinitcpio 25-2
mkinitcpio-busybox 1.30.1-1
mkinitcpio-openswap 0.1.0-2
mobile-broadband-provider-info 20190116-1
modemmanager 1.10.4-1
modemmanager-qt 5.60.0-1
mozilla-common 1.4-5
mpc 0.32-1
mpd 0.21.11-1
mpfr 4.0.2-1
mpg123 1.25.11-1
mpv 1:0.29.1-7
msgpack-c 3.2.0-1
mtdev 1.1.5-2
mtpfs 1.1-3
nano 4.3-1
nautilus 3.32.1-1
nautilus-sendto 3.8.6+14+ge8a3604-1
ncftp 3.2.6-2
ncmpcpp 0.8.2-8
ncurses 6.1-6
ndctl 65-1
neon 0.30.2-3
neovim 0.3.8-1
neovim-plug 0.10.0-3
net-snmp 5.8-4
nettle 3.5.1-1
networkmanager 1.18.2-1
networkmanager-openconnect 1.2.5dev+110+g524a2e0-2
networkmanager-openvpn 1.8.10-1
networkmanager-pptp 1.2.9dev+10+gb41b0d0-1
networkmanager-qt 5.60.0-1
networkmanager-vpnc 1.2.7dev+20+gdca3aea-1
newsboat 2.15-1
nfs-utils 2.4.1-1
nfsidmap 2.4.1-1
ninja 1.9.0-1
node-gyp 5.0.2-1
nodejs 11.15.0-1
noto-fonts 20190111-2
noto-fonts-compat 20151217-1
noto-fonts-emoji 20180810-2
npm 6.10.2-1
npth 1.6-1
nspr 4.21-1
nss 3.45-1
nss-mdns 0.14.1-1
ntfs-3g 2017.3.23-3
ntp 4.2.8.p13-2
numlockx 1.2-4
odt2txt 0.5-3
okular 19.04.3-1
openal 1.19.1-2
openconnect 1:8.03-1
opencore-amr 0.1.5-2
openexr 2.3.0-1
openjpeg2 2.3.1-1
openresolv 3.9.1-1
openssh 8.0p1-1
openssl 1.1.1.c-1
openssl-1.0 1.0.2.s-1
openvpn 2.4.7-1
opus 1.3.1-1
orc 0.4.29-1
os-prober 1.77-1
osinfo-db 20190611-1
ostree 2019.2-1
p11-kit 0.23.16.1-1
p7zip 16.02-5
pacman 5.1.3-1
pacman-mirrors 4.14.2-1
pam 1.3.1-1
pamac-cli 8.0.3-5
pamac-common 8.0.3-5
pamac-gtk 8.0.3-5
pamac-tray-appindicator 8.0.3-5
pambase 20190105.1-1
pango 1:1.44.1-1
parted 3.2-9.1
partitionmanager 4.0.0-1
patch 2.7.6-7
patchutils 0.3.4-3
pciutils 3.6.2-1
pcre 8.43-1
pcre2 10.33-1
pcsclite 1.8.25-1
perl 5.30.0-3
perl-alien-build 1.79-1
perl-alien-libxml2 0.09-2
perl-capture-tiny 0.48-2
perl-clone 0.41-3
perl-dbi 1.642-3
perl-error 0.17027-2
perl-ffi-checklib 0.25-1
perl-file-basedir 0.08-3
perl-file-chdir 0.1011-3
perl-file-desktopentry 0.22-5
perl-file-mimeinfo 0.29-2
perl-file-which 1.23-2
perl-ipc-system-simple 1.25-5
perl-mailtools 2.21-2
perl-parse-yapp 1.21-2
perl-path-tiny 0.108-2
perl-timedate 2.30-6
perl-uri 1.76-2
perl-xml-libxml 2.0201-2
perl-xml-namespacesupport 1.12-3
perl-xml-sax 1.00-1
perl-xml-sax-base 1.09-3
phonon-qt5 4.10.3-1
phonon-qt5-gstreamer 4.9.1-1
pinentry 1.1.0-4
pipewire 0.2.6+1+g37613b67-1
pixman 0.38.4-1
pkcs11-helper 1.25.1-1
pkgconf 1.6.3-1
plasma-desktop 5.16.3-2
plasma-framework 5.60.0-1
plasma-integration 5.16.3-1
plasma-nm 5.16.3-1
plasma-pa 5.16.3-1
plasma-workspace 5.16.3-2
plasma-workspace-wallpapers 5.16.3-1
plasma5-themes-breath 0.4.0-2
polkit 0.116-1.1
polkit-kde-agent 5.16.3-1
polkit-qt5 0.112.0+git20180107-2
poppler 0.79.0-1
poppler-data 0.4.9-1
poppler-glib 0.79.0-1
